customerID,lastName,firstName,addressStreet,addressCity,addressState,addressZipcode,phoneNo,ssn,regionFK,salespersonFK
51,HAMILTON,Mary,235 Brooks Street,HOUSTON,TX,77001,(713)975 9801,001-19-5836,3,14
52,KEEGAN,Fred,43 Beach Parkway,MALIBU,CA,90265,(808)203 2100,006-49-8937,2,18
53,WRIGHT,Mark,666 Sun Drive,HOLLYWOOD,CA,90027,(213)973 7305,009-83-8535,2,22
54,THOMAS,Steve,123 Lotus Road,HOLLYWOOD,CA,90027,(213)943 5303,031-79-9137,2,18
55,JACKSON,Linda,23 Pacific Shores Blvd,MALIBU,CA,90265,(808)263 9401,059-33-8918,2,22
56,MOORE,Joe,33 Broad Street,CHICAGO,IL,60606,(312)943 2300,170-49-4329,3,11
57,YOUNG,Kate,15 Ocean Drive,MALIBU,CA,90265,(808)413 3300,182-39-0666,2,18
58,JONES,Claire,89 Beach Avenue,SANTA MONICA,CA,90408,(714)333 4307,188-69-2067,2,22
59,EDWARDS,Jane,2510 East Avenue,NEW YORK,NY,10011,(315)683 1300,188-93-4152,1,17
60,JAMES,Bob,234 Melrose Blvd,HOLLYWOOD,CA,90027,(213)923 6308,396-49-8704,2,18
61,WRIGHT,Sarah,645 Sunset Blvd,DALLAS,TX,75233,(214)883 3304,484-73-6920,3,14
62,CLARK,Peter,1250 Brooklyn Avenue,NEW YORK,NY,10011,(315)893 7300,504-57-2010,1,19
63,BROWN,Nick,156 Kennedy Avenue,CHICAGO,IL,60606,(312)773 8305,577-59-8826,3,11
64,PETERS,Lou,2812 W86 Street,NEW YORK,NY,10011,(315)263 8300,775-46-0693,1,17
65,LEWIS,Mike,3035 Center Green Drive,BOSTON,MA,2115,(617)123 8301,790-65-8320,1,17
66,MURPHY,Pat,552 Princess Street,HOLLYWOOD,CA,90027,(213)973 5300,794-01-9710,2,22
67,GRANT,Ted,440 Oakmead Parkway,HOUSTON,TX,77001,(713)033 5303,796-46-2884,3,14
68,CARTER,Sue,65 Andover Street,BOSTON,MA,2115,(617)573 9302,811-73-7905,1,17
69,DANIELS,Janet,12 Palisades Drive,DETROIT,MI,48205,(313)053 1300,834-33-7947,3,21
70,SMITH,John,7525 West End Avenue,NEW YORK,NY,10011,(315)933 1301,841-25-9555,1,19
71,HARRIS,Ed,45 High Street,DALLAS,TX,75233,(214)963 3300,854-98-7112,3,14
72,ROBERTS,Debbie,112 Seaside Avenue,MALIBU,CA,90265,(808)573 9302,859-40-2714,2,18
73,THOMSON,Kim,224 Redondo Drive,DETROIT,MI,48205,(313)274 9300,871-32-9661,3,21
74,ANDERSON,Dave,2442 Meadowdale Lane,BOSTON,MA,2115,(617)563 2104,886-23-5878,1,17
75,KING,Hilary,125 Broadway Avenue,DALLAS,TX,75233,(408)472 4536,911-34-7580,3,14
76,WILSON,Cindy,1350 N.Wells,CHICAGO,IL,60606,(312)473 7601,913-66-7680,3,11
77,BARRY,John,3800 North Queen View,DALLAS,TX,75233,(214)123 2300,925-05-4057,3,14
78,BLOFELD,Richard,151 Mississippi Drive,DALLAS,TX,75233,(214)929 9200,925-74-9447,3,14
79,CONNOR,Pamela,2356 Ocean Drive,MALIBU,CA,90265,(808)453 7300,942-90-0679,2,22
80,GETZ,Stan,10 King Street,CHICAGO,IL,60606,(312)211 2121,953-10-1252,3,11
81,GILBERT,Tom,423 Kenyon Drive,BOSTON,MA,2115,(617)903 8750,955-28-3218,1,17
82,HOGGS,Brian,2 Hollywood Blvd,MALIBU,CA,90265,(808)256 5670,965-37-1205,2,18
83,WINSTON,Gary,15 Broad Street,BOSTON,MA,2115,(617)574 1740,988-60-1661,1,17
84,SAUBER,Paul,99 Walker Street,HOUSTON,TX,77001,(713)732 9430,991-07-9391,3,14
85,PADING,Micheal,101 University Avenue,SANTA MONICA,CA,90408,(714)165 9208,005-41-6548,2,22
